Conf bin,yolov8m,yolov8n,yolov8s
0.25-0.30,535,799,673
0.30-0.40,1121,2235,1474
0.40-0.50,1792,3710,2254
0.50-0.60,4343,5581,4651
0.60-0.70,7831,3116,6660
0.70-0.80,1069,85,1382
0.80-0.90,0,0,0
0.90-1.00,0,0,0
