Conf bin,yolov8m,yolov8n,yolov8s
0.25-0.30,520,801,689
0.30-0.40,1125,2247,1462
0.40-0.50,1824,3680,2253
0.50-0.60,4299,5583,4691
0.60-0.70,7833,3121,6638
0.70-0.80,1085,86,1381
0.80-0.90,0,0,0
0.90-1.00,0,0,0
